@relation unknown

@attribute sentence string
@attribute NER_DATE numeric
@attribute NER_DURATION numeric
@attribute NER_LOCATION numeric
@attribute NER_MISC numeric
@attribute NER_MONEY numeric
@attribute NER_NUMBER numeric
@attribute NER_ORDINAL numeric
@attribute NER_ORGANIZATION numeric
@attribute NER_PERCENT numeric
@attribute NER_PERSON numeric
@attribute NER_SET numeric
@attribute NER_TIME numeric
@attribute 'access control' {yes,no}
@attribute audit {yes,no}
@attribute availability {yes,no}
@attribute 'capacity and performance' {yes,no}
@attribute legal {yes,no}
@attribute 'look and feel' {yes,no}
@attribute maintainability {yes,no}
@attribute operational {yes,no}
@attribute privacy {yes,no}
@attribute reliability {yes,no}
@attribute recoverability {yes,no}
@attribute security {yes,no}
@attribute usability {yes,no}
@attribute 'other nonfunctional' {yes,no}
@attribute 'database design' {yes,no}
@attribute functional {yes,no}
@attribute documentID string

@data
1.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
DEFINITIONS.,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Except as otherwise defined herein, any and all capitalized terms in this DUA shall have the definitions set forth in HIPAA.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'In the event of any inconsistency between the provisions of this DUA and mandatory provisions of HIPAA, as amended, the HIPAA provision shall control.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Where provisions of this DUA are different than those provided in HIPAA, but are permitted by HIPAA, the provisions of this DUA shall control.',0,0,1,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
2.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'USE OR DISCLOSURE.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Data Recipient shall have the right to use all Individually Identifiable Health Information (IIHI) provided to it by the Data Custodian for the Research, Public Health or Health Care Operations purposes as listed below (be brief but use as much space as necessary):',0,0,0,1,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
PURPOSE:,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'PUBLIC HEALTH SIGNIFIGANCE:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'RESULTS OF PROJECT WILL BE USED FOR:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA REQUESTED:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'TIME PERIOD:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA DESCRIPTION:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
VARIABLES:,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'ESTIMATED STUDY COMPLETION DATE:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
3.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'RESTRICTIONS ON USE.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient agrees that it, and any employees, agents and subcontractors to whom it discloses the IIHI, will not use or further disclose the IIHI other than as permitted by this DUA, or as otherwise required by law or regulation.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'Data Recipient shall use appropriate safeguards to protect the IIHI from misuse or inappropriate disclosure and to prevent any use or disclosure of the IIHI other than as provided in this DUA or as otherwise required by law or regulation.',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,unknown
'Recipient shall not attempt to identify the individuals to whom the IIHI pertains, or attempt to contact such individuals.',0,0,0,1,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
4.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
REPORTING.,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient shall report to Data Custodian any use or disclosure of the IIHI that is not provided for in this DUA of which the Recipient becomes aware.',0,0,0,1,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient will take reasonable steps to limit any further such use or disclosure.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient will send the Data Oversight Committee (DPH and NC DETECT team) a copy of any publications possibly and possibly presentations that have been derived from NC DETECT data at least two weeks before presentation or publication, to insure that institutional and personal confidentiality is maintained.',0,1,0,0,0,1,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'All data presented in publications possibly and possibly presentations shall be presented in aggregate form only, in a manner in which an individual cannot be identified; in addition, hospital names will not be disclosed.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'For oral or written presentations or publications, the source of the data must be attributed to The NC Public Health Data Group and NC DETECT.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Material must include the following disclaimer: The NC Public Health Data Group and NC DETECT do not take responsibility for the scientific validity or accuracy of methodology, results, statistical analyses, or conclusions presented.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
5.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'TERM AND TERMINATION.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DUA Termination Date: ____________________________________________',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'(a) Term.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The Term of this DUA shall be effective as of the date first written above, and shall terminate when all the PHI provided by Data Custodian to Recipient is destroyed or returned to Data Custodian, or, if it is infeasible to return or destroy IIHI, protections are extended to such information, in accordance with the termination provisions in this Section.',0,0,0,1,0,0,1,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'(b) Termination for Cause.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Should Recipient commit a material breach of this DUA, which is not cured within thirty (30) days after Recipient receives notice of such breach from the Data Custodian, then the Data Custodian will discontinue disclosure of IIHI and will report the problem to the Secretary, U. S. Department of Health and Human Services.',0,1,0,1,0,1,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'(c) Effects of Termination.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'i. Except as provided in paragraph (ii) of this subsection, within ten (10) days upon termination of this DUA, Recipient shall return or destroy all IIHI received from Data Custodian.',0,1,0,0,0,1,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'This provision shall apply to IIHI that is in the possession of subcontractors or agents of Data Recipient.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Recipient shall retain no copies of the IIHI.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
ii.,0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'In the event that Recipient determines that returning or destroying the IIHI is infeasible, Recipient shall provide to Data Custodian notification of the conditions that make return or destruction infeasible.',0,0,0,1,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Upon mutual agreement of the Parties that return or destruction of IIHI is infeasible, Data Recipient shall extend the protections of this DUA to such IIHI and limit further uses and disclosures of such IIHI to those purposes that make the return or destruction infeasible, for so long as Recipient maintains IIHI.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA CUSTODIAN (NC DPH):\t                        RECIPIENT:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________\t_________________________________',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'(Date)\t(Date)',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________\t_________________________________',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'(Signature)\t(Signature)',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'____________________________________\t_________________________________',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'(Printed Name)\t(Printed Name)',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
2,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Initial: ___________________________',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Form CMS-R-0235 (06 or 10)',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DEPARTMENT OF HEALTH AND HUMAN SERVICES CENTERS FOR MEDICARE & MEDICAID SERVICES',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Form Approved OMB No. 0938-0734',0,1,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DATA USE AGREEMENT',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'DUA #',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'(AGREEMENT FOR USE OF CENTERS FOR MEDICARE & MEDICAID SERVICES (CMS)   DATA CONTAINING INDIVIDUAL IDENTIFIERS)',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'CMS agrees to provide the User with data that reside in a CMS Privacy Act System of Records as identified in this  Agreement.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'In exchange, the User agrees to pay any applicable fees; the User agrees to use the data only for purposes  that support the User’s study, research or project referenced in this Agreement, which has been determined by CMS to provide assistance to CMS in monitoring, managing and improving the Medicare and Medicaid programs or the services provided to beneficiaries; and the User agrees to ensure the integrity, security, and confidentiality of the data by complying  with the terms of this Agreement and applicable law, including the Privacy Act and the Health Insurance Portability and Accountability Act.',0,0,0,1,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'In order to secure data that reside in a CMS Privacy Act System of Records; in order to ensure the  integrity, security, and confidentiality of information maintained by the CMS; and to permit appropriate disclosure and use of such data as permitted by law, CMS and (Requestor) agreement to comply with the following specific paragraphs.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'U.S. Department of Health and Human Services (HHS), and (Requestor),',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
1.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'This Agreement is by and between the Centers for Medicare & Medicaid Services (CMS), a component of the  hereinafter termed “User.”',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
2.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'This Agreement addresses the conditions under which CMS will disclose and the User will obtain, use, reuse  and disclose the CMS data file(s) specified in section 5 possibly and possibly any derivative file(s) that contain direct individual identifiers or elements that can be used in concert with other information to identify individuals.',0,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'This Agreement supersedes any and all agreements between the parties with respect to the use of data from the files specified in section 5 and preempts and overrides any instructions, directions, agreements, or other understanding in or  pertaining to any grant award or other prior communication from the Department of Health and Human Services or any of its components with respect to the data specified herein.',0,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Further, the terms of this Agreement can be changed only by a written modification to this Agreement or by the parties adopting a new agreement.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The parties agree further that instructions or interpretations issued to the User concerning this Agreement or the data specified  herein, shall not be valid unless issued in writing by the CMS point-of-contact or the CMS signatory to this Agreement shown in section 20.',0,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
3.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The parties mutually agree that CMS retains all ownership rights to the data file(s) referred to in this Agreement, and that the User does not obtain any right, title, or interest in any of the data furnished by CMS.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
4.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The User represents, and in furnishing the data file(s) specified in section 5 CMS relies upon such representation, that such data file(s) will be used solely for the following purpose(s).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,unknown
'Name of Study or Project',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'CMS Contract No. (If applicable)',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The User represents further that the facts and statements made in any study or research protocol or project plan submitted to CMS for each purpose are complete and accurate.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Further, the User represents that said study  protocol(s) or project plans, that have been approved by CMS or other appropriate entity as CMS may determine,  represent the total use(s) to which the data file(s) specified in section 5 will be put.',0,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,unknown
'The User agrees not to disclose, use or reuse the data covered by this agreement except as specified in an  Attachment to this Agreement or except as CMS shall authorize in writing or as otherwise required by law, sell,  rent, lease, loan, or otherwise grant access to the data covered by this Agreement.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'The User affirms that the  requested data is the minimum necessary to achieve the purposes stated in this section.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The User agrees that,  within the User organization and the organizations of its agents, access to the data covered by this Agreement  shall be limited to the minimum amount of data and minimum number of individuals necessary to achieve the purpose stated in this section (i.e., individual’s access to the data will be on a need-to-know basis).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,unknown
5.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The following CMS data file(s) is or are covered under this Agreement.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'File Years(s) System of Record',0,1,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
6.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The parties mutually agree that the aforesaid files(s) (possibly and possibly any derivative file(s)), including those files that directly identify individuals or that directly identify bidding firms possibly and possibly such firms’ proprietary, confidential individuals, may be retained by the User until          , hereinafter known as the “Retention Date.”',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'The User agrees to notify CMS within 30 days of the completion of the purpose specified in section 4 if the  purpose is completed before the aforementioned retention date.',0,1,0,0,0,1,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Upon such notice or retention date, whichever  occurs sooner, the User agrees to destroy such data.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'The User agrees to destroy and send written certification of  the destruction of the files to CMS within 30 days.',0,1,0,0,0,1,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'The User agrees not to retain CMS files or any parts thereof, or specific bidding information, and those files that can be used in concert with other information to identify after the aforementioned file(s) are destroyed unless the appropriate Systems Manager or the person designated in section 20 of this Agreement grants written authorization.',0,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'The User acknowledges that the date is not contingent  upon action by CMS.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,unknown
'The Agreement may be terminated by either party at any time for any reason upon 30 days written notice.',0,1,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Upon  notice of termination by User, CMS will cease releasing data from the file(s) to the User under this Agreement  and will notify the User to destroy such data file(s).',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,unknown
'Sections 3, 4, 6, 8, 9, 10, 11, 13, 14 and 15 shall survive  termination of this Agreement.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
7.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The User agrees to establish appropriate administrative, technical, and physical safeguards to protect the  confidentiality of the data and to prevent unauthorized use or access to it.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,unknown
'The safeguards shall provide a level  and scope of security that is not less than the level and scope of security requirements established by the Office  of Management and Budget (OMB) in OMB Circular No A-130, Appendix III--Security of Federal Automated  Information Systems (http://www.whitehouse.gov/omb/circulars/a130/a130.html) as well as Federal  Information Processing Standard 200 entitled “Minimum Security Requirements for Federal Information and  Information Systems” (http://csrc.nist.gov/publications/fips/fips200/FIPS-200-final-march.pdf); and, Special Publication 800-53 “Recommended Security Controls for Federal Information Systems” (http://csrc.nist.gov/ publications/nistpubs/800-53-Rev2/sp800-53-rev2-final.',0,0,0,1,0,1,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,unknown
'The User acknowledges that the use of unsecured  telecommunications, including the Internet, to transmit individually identifiable, bidder identifiable or deducible information derived from the file(s) specified in section 5 is prohibited.',0,0,0,1,0,1,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'Further, the User agrees that the data must  not be physically moved, transmitted or disclosed in any way from or by the site indicated in section 17 without  written approval from CMS unless such movement, transmission or disclosure is required by a law.',0,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
8.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The User agrees to grant access to the data to the authorized representatives of CMS or DHHS Office of the  Inspector General at the site indicated in section 17 for the purpose of inspecting to confirm compliance with  the terms of this agreement.',0,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'Form CMS-R-0235 (06 or 10)',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
9.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The User agrees not to disclose direct findings, listings, or information derived from the file(s) specified in section 5, with or without direct identifiers, if such findings, listings, or information can, by themselves or in combination with other data, be used to deduce an individual’s identity.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'Examples of such data elements include, but are not limited to geographic location, age if > 89, sex, diagnosis and procedure, admission or discharge date(s), or date of death.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The User agrees that any use of CMS data in the creation of any document (manuscript, table, chart, study, report,  etc.) concerning the purpose specified in section 4 (regardless of whether the report or other writing expressly  refers to such purpose, to CMS, or to the files specified in section 5 or any data derived from such files) must  adhere to CMS’ current cell size suppression policy.',1,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'This policy stipulates that no cell (e.g. admittances, discharges, patients, services) 10 or less may be displayed.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,unknown
'Also, no use of percentages or other mathematical formulas may be used if they result in the display of a cell 10 or less.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,unknown
'By signing this Agreement you hereby agree  to abide by these rules and, therefore, will not be required to submit any written documents for CMS review.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'If you are unsure if you meet the above criteria, you may submit your written products for CMS review.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'CMS agrees to make a determination about approval and to notify the user within 4 to 6 weeks after receipt of findings.',0,1,0,0,0,1,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'CMS  may withhold approval for publication only if it determines that the format in which data are presented may result in identification of individual beneficiaries.',0,0,0,0,0,0,0,1,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
10.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'The User agrees that, absent express written authorization from the appropriate System Manager or the person  designated in section 20 of this Agreement to do so, the User shall not attempt to link records included in the  file(s) specified in section 5 to any other individually identifiable source of information.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'This includes attempts to  link the data to other CMS data file(s).',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'A protocol that includes the linkage of specific files that has been approved in accordance with section 4 constitutes express authorization from CMS to link files as described in the protocol.',0,0,0,0,0,1,0,1,0,0,0,0,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
11.,0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
