@relation unknown

@attribute sentence string
@attribute 'access control' {yes,no}
@attribute audit {yes,no}
@attribute availability {yes,no}
@attribute 'capacity and performance' {yes,no}
@attribute legal {yes,no}
@attribute 'look and feel' {yes,no}
@attribute maintainability {yes,no}
@attribute operational {yes,no}
@attribute privacy {yes,no}
@attribute reliability {yes,no}
@attribute recoverability {yes,no}
@attribute security {yes,no}
@attribute usability {yes,no}
@attribute 'other nonfunctional' {yes,no}
@attribute 'database design' {yes,no}
@attribute functional {yes,no}
@attribute documentID string

@data
'safeguard provide level scope security that be not less than level scope security requirement establish Office Management Budget OMB OMB circular no a-130 Appendix III security Federal Automated Information Systems http:\\/\\/www.whitehouse.gov\\/omb\\/circulars\\/a130\\/a130.html Federal Information Processing Standard 200 entitle Minimum Security requirement Federal Information Information Systems http:\\/\\/csrc.nist.gov\\/publications\\/fips\\/fips200\\/fips-200-final-march.pdf special publication 800-53 Recommended Security Controls Federal Information Systems http:\\/\\/csrc.nist.gov\\/ publications\\/nistpubs\\/800 -53 rev2\\/sp800 -53 rev2-final',no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,unknown
'user acknowledge that use unsecured telecommunications internet to transmit individually identifiable bidder identifiable deducible information derive file s specify section 5 be prohibit',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'further user agree that datum not be physically move transmit disclose any way site indicate section 17 write approval CMS unless such movement transmission disclosure be require law',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
8,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user agree to grant access datum authorized representative CMS DHHS Office Inspector General site indicate section 17 purpose inspect to confirm compliance term this agreement',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'form cms-r-0235 06 10',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
9,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user agree not to disclose direct finding listing information derive file s specify section 5 direct identifier if such finding listing information themselves combination other datum be use to deduce individual identity',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'example example such datum element include be not limit geographic location age if 89 sex diagnosis procedure admission discharge date s date death',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user agree that any use CMS datum creation any document manuscript table chart study report etc. purpose specify section 4 whether report other write expressly refer such purpose CMS file specify section 5 any datum derive such file adhere CMS current cell size suppression policy',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'this policy stipulate that no cell e.g. admittances discharge patient service 10 less be display',no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,unknown
'also no use percentage other mathematical formula be use if they result display cell 10 less',no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,unknown
'sign this agreement you hereby agree to abide these rule and therefore not be require to submit any write document CMS review',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'if you be unsure if you meet above criterion you submit you write product CMS review',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'CMS agree to make determination approval to notify user 4 to 6 week receipt finding',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'CMS withhold approval publication only if it determine that format which datum be present result identification individual beneficiary',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
10,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user agree that absent express write authorization appropriate system manager person designate section 20 this agreement to do so user not attempt to link record include file s specify section 5 any other individually identifiable source information',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'this include attempt to link datum other CMS datum file s',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'protocol that include linkage specific file that have be approve accordance section 4 constitute express authorization CMS to link file as describe protocol',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
11,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user user understand agree that they not reuse original derivative datum file s prior write approval appropriate system manager person designate section 20 this agreement',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
12,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'party mutually agree that the specify attachment be part this agreement',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
13,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user agree that event CMS CMS determine have reasonable belief that user user have make have make use reuse disclosure aforesaid file s that be not authorize this agreement another write authorization appropriate system manager person designate section 20 this agreement CMS its sole discretion require user to a promptly investigate report CMS user determination any alleged actual unauthorized use reuse disclosure b promptly resolve any problem identify investigation c if request by CMS submit formal response allegation unauthorized use reuse disclosure d if request CMS submit corrective action plan step design to prevent any future unauthorized use reuse disclosure e if request CMS return datum file CMS destroy datum file it receive CMS this agreement',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'user understand that as result CMS determination reasonable belief that unauthorized use reuse disclosure have take place CMS refuse to release further CMS datum user period time to be determine CMS',no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,unknown
'user agree to report any breach personally identifiable information pius CMS datum file s loss these datum disclosure any unauthorized person CMS Action desk telephone -lrb-410-rrb- 786-2580 e-mail notification cms_it_service_desk@cms.hhs.gov one hour to cooperate fully federal security incident process',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
'while CMS retain all ownership rights datum file s as outline above user bear cost liability any breach pius datum file s while they be entrust user',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'furthermore if CMS determine that risk harm require notification affect individual person security breach possibly possibly other remedy user agree to carry out these remedy cost CMS',no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,unknown
'form cms-r-0235 06 10',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
14,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user hereby acknowledge that criminal penalty § 1106 a Social Security Act 42 U.S.C. § 1306 a fine not exceed $ 10,000 imprisonment not exceed 5 year both apply disclosure information that be cover § 1106 that be not authorize regulation Federal law',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user further acknowledge that criminal penalty Privacy Act 5 U.S.C. § 552a i 3 apply if it be determine that Requestor Requestor Requestor Custodian any individual employ affiliate therewith knowingly willfully obtain file s false pretens',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'any person find to have violate sec i 3 of Privacy Act Act be guilty misdemeanor fine not more than $ 5,000',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'finally user acknowledge that criminal penalty be impose 18 U.S.C. § 641 if it be determine that user user user any individual employ affiliate therewith have take convert he own use datum file s receive file s know that they they be steal convert',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'such circumstance they they be fine Title 18 imprison not more than 10 year both if value such property do not exceed sum $ 1,000 they they be fine Title 18 imprison not more than 1 year both',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
15,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'sign this agreement user user agree to abide all provision set out this agreement acknowledge have receive notice potential criminal administrative penalty violation term agreement',no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,unknown
16,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user the the undersign individual hereby attest that he she be authorize to legally bind user term this agreement agree all term specify herein',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'name title user type print',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'company Organization',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Street Address',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
City,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
state,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'ZIP Code',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Office Telephone Include Area Code',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'e-mail address if applicable',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Signature Date',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
17,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'party mutually agree that follow name individual individual be designate custodian file s user be person responsible observance all condition use establishment maintenance security arrangement as specify this agreement to prevent unauthorized use',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'user agree to notify CMS fifteen 15 day any change custodianship',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'party party mutually agree that CMS disapprove appointment custodian require appointment new custodian any time',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Custodian Custodian hereby acknowledge he she appointment custodian aforesaid file s behalf user agree to comply all provision this agreement user',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'name custodian type print',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'company Organization',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Street Address',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
City,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
state,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'ZIP Code',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Office Telephone Include Area Code',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'e-mail address if applicable',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Signature Date',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'form cms-r-0235 06 10',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
18,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'disclosure provision s that allow discretionary release CMS datum purpose s state section 4 follow s',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'to be complete CMS staff',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
_________________________________________,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
19,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'on behalf __________________________________ the undersign individual individual individual individual hereby acknowledge aforesaid federal agency sponsor otherwise support user request for use CMS datum agree to support CMS ensure that user user maintain use CMS datum accordance term this agreement agree further to make no statement user interpretation term this agreement to refer all question such interpretation compliance term this agreement the',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'CMS official name section 20 or to he she successor',yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,unknown
'type Printed name',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'title Federal Representative',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Signature Date',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Office Telephone Include Area Code',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'e-mail address if applicable',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
20,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'party mutually agree that follow name individual be designate point-of-contact agreement CMS',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'CMS the undersign individual hereby attest that he he she be authorize to enter this agreement agree all term specify herein',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'name CMS Representative type print',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'title component',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Street Address',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Mail Stop',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
City,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
state,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'ZIP Code',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Office Telephone Include Area Code',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'e-mail address if applicable',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'a. Signature CMS Representative Date',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'B. Concur Nonconcur signature CMS System Manager Business Owner Date',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Concur Nonconcur signature CMS System Manager Business Owner Date',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'Concur Nonconcur signature CMS System Manager Business Owner Date',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'to Paperwork Reduction Act 1995 no person be require to respond collection information unless it display valid OMB control number',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'valid OMB control number this information collection be 0938-0734',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'time require to complete this information collection be estimate average 30 minute response time to review instruction search exist datum resource gather datum need complete review information collection',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'if you have any comment accuracy time estimate s suggestion improve this form please write CMS 7500 security Boulevard Attn report Clearance Officer Baltimore Maryland 21244-1850',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
'get Login Page',no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,unknown
